,No.,name,rating,location,category,startrange,endrange,price,pricerank,"ăn vặt, ăn vặt vỉa hè","đồ ăn sáng, đồ ăn sáng vỉa hè",quán cơm văn phòng,"quán cơm bình dân, cơm mang đi",đồ ăn nhanh,"cơm, phở","đồ ăn hàn quốc, nhà hàng hàn quốc","đồ ăn nhật bản, nhà hàng nhật bản",nhà hàng,pizza,nhà hàng chay,trà sữa,cafe,"bánh ngọt, bánh sinh nhật"
693,693,an biên - món ngon hải phòng - trần thái tông,7.0,quận cầu giấy,nhà hàng,30000,500000,expensive,3,,,,,,,,,x,,,,,
694,694,an biên eatery - trần thái tông,7.0,quận cầu giấy,nhà hàng,120000,200000,medium,2,,,,,,,,,x,,,,,
695,695,al fresco’s - trần thái tông,8.4,quận cầu giấy,nhà hàng,200000,250000,medium,2,,,,,,,,,x,,,,,
696,696,hoàng huệ - cơm rang & bún bò trộn - trần thái tông 37,7.1,quận cầu giấy,nhà hàng,20000,40000,cheap,1,,x,x,x,,x,,,x,,,,,
697,697,hook beer - trần quý kiên,8.2,quận cầu giấy,nhà hàng,100000,250000,medium,2,,,,,,,,,x,,,,,
698,698,hoàng ký - chuỗi vịt quay lu đất chính hiệu - trần quý kiên,7.0,quận cầu giấy,nhà hàng,100000,150000,medium,2,,,,,,,,,x,,,,,
699,699,2v - trần quý kiên,6.0,quận cầu giấy,nhà hàng,250000,270000,medium,2,,,,,,,,,x,,,,,
700,700,bánh ngọt emoji - bông lan trứng muối & đồ uống online - trần quốc vượng,8.3,quận cầu giấy,delivery,19000,399000,medium,2,x,,x,,,x,,,x,x,x,,x,x
701,701,hương vị xứ thanh - trần quốc vượng,7.2,quận cầu giấy,nhà hàng,80000,150000,medium,2,x,,,,,,,,,,,,,
702,702,cơm tấm phương anh - trần quốc vượng,7.2,quận cầu giấy,nhà hàng,40000,55000,cheap,1,x,x,x,x,,,,,x,,,,,
703,703,vựa hải sản biển đông - trần quốc toản,8.0,quận hoàn kiếm,nhà hàng,250000,400000,medium,2,x,,,,,,,,,,,,,
704,704,vân nhi - food & dessert - trần quốc toản,7.6,quận hoàn kiếm,cafe tráng miệng,12000,60000,cheap,1,x,,,,,,,,,,,,,
705,705,nhà hàng ganeya - trần quốc toản,7.6,quận hoàn kiếm,nhà hàng,200000,500000,expensive,3,x,,,,,,,,,,,,,
706,706,moo beef steak - trần quốc toản,8.0,quận hoàn kiếm,nhà hàng,350000,500000,expensive,3,x,,,,,,,,,,,,x,
707,707,kisu sushi - trần quốc toản,8.2,quận hoàn kiếm,nhà hàng,500000,700000,expensive,3,x,,,,,,,x,,,,,,
708,708,trung dũng - trần quốc hoàn,8.0,quận cầu giấy,nhà hàng,150000,250000,medium,2,x,,,,,,,,,,,,,
709,709,trà tiên hưởng - trần quốc hoàn,7.1,quận cầu giấy,cafe tráng miệng,27000,100000,cheap,1,x,,x,,,,,,,,,,x,
710,710,trà sữa mixue - trần quốc hoàn,6.9,quận cầu giấy,cafe tráng miệng,30000,60000,cheap,1,x,,x,,,,,,,,,x,x,
711,711,the canteen - foods & drinks - trần quốc hoàn,7.4,quận cầu giấy,nhà hàng,6000,20000,cheap,1,x,,,,,,,,,,,,,
712,712,master tea 美茶 - trần quốc hoàn,6.1,quận cầu giấy,cafe tráng miệng,26000,50000,cheap,1,x,,,,,,,,,,,,x,
713,713,korean kitchen - bếp hàn online - trần quốc hoàn,8.4,quận cầu giấy,delivery,25000,100000,cheap,1,x,,,,,,,,,,,,,
714,714,kem xôi & chè thái lan - trần quốc hoàn,6.4,quận cầu giấy,nhà hàng,20000,100000,cheap,1,x,x,,x,,,,,,,,,x,
715,715,hotpot kingdom - trần quốc hoàn,7.6,quận cầu giấy,nhà hàng,130000,200000,medium,2,x,,,,,,,,x,,,,,
716,716,bánh mì nướng lạng sơn - trần quốc hoàn,6.1,quận cầu giấy,nhà hàng,10000,50000,cheap,1,x,x,,x,,,,,,,,,x,
717,717,the top coffee & tea - trần quang khải,7.3,quận hoàn kiếm,cafe tráng miệng,15000,30000,cheap,1,,,x,,,,,,,,,x,x,
718,718,trạm sushi - trần quang diệu,8.6,quận đống đa,nhà hàng,15000,500000,expensive,3,,,,,,,,x,,,,,,
719,719,royaltea - trần quang diệu,7.2,quận đống đa,cafe tráng miệng,35000,60000,cheap,1,,,,,,,,,,,,,x,
720,720,quán nhỏ - trần quang diệu,7.4,quận đống đa,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
721,721,trà sữa mixue - trần phú,9.2,quận hà đông,cafe tráng miệng,15000,25000,cheap,1,,,x,,,,,,,,,x,x,
722,722,trà sữa bobapop - trần phú,7.2,quận hà đông,cafe tráng miệng,20000,50000,cheap,1,,,x,,,,,,,,,x,x,
723,723,tào phớ loki house - trần phú,7.1,quận hoàn kiếm,cafe tráng miệng,15000,50000,cheap,1,,,x,,,,,,,,x,x,x,
724,724,savor - bánh mì & trà sữa - trần phú,3.4,quận hà đông,ăn vặt vỉa hè,20000,50000,cheap,1,,x,x,x,,,,,,,,x,x,
725,725,nguyễn sơn bakery - trần phú,5.7,quận hà đông,bánh ngọt,50000,500000,expensive,3,,,,,,,,,,,,,x,x
726,726,lim dim restaurant - trần phú,7.4,quận đống đa,nhà hàng,200000,300000,medium,2,,,,,,,,,x,,,,,
727,727,lẩu tuyết - lẩu thái tomyum & đồ nướng tự chọn - trần phú,9.5,quận ba đình,nhà hàng,20000,200000,medium,2,,,,,,,,,x,,,,,
728,728,hắt 2 ô - nem nướng nha trang - trần phú,7.2,quận hà đông,nhà hàng,50000,80000,cheap,1,,,,,,,,,x,,,,,
729,729,goofoo gelato - trần phú,4.5,quận hà đông,cafe tráng miệng,25000,50000,cheap,1,,,x,,,,,,,,x,x,x,
730,730,chè gỗ - trần phú,8.1,quận ba đình,ăn vặt vỉa hè,10000,20000,cheap,1,x,x,,,x,,,,,,,,x,
731,731,cheep eats - nhà hàng nướng - lẩu - hải sản - trần phú,8.0,quận hà đông,nhà hàng,200000,280000,medium,2,,,,,,,,,x,,,,,
732,732,cha go tea & caf'e - trần phú,6.8,quận hà đông,cafe tráng miệng,30000,80000,cheap,1,,,,,,,,,,,,,x,
733,733,pepperonis - trần phú (hà đông),7.6,quận hà đông,nhà hàng,130000,150000,medium,2,,,,,,,,,x,,,,,
734,734,gogi house - nướng hàn quốc - trần phú hà đông,7.0,quận hà đông,nhà hàng,165000,300000,medium,2,x,,,,,,,,,,,,,
735,735,trư ký hotpot - trần nhân tông,7.6,quận hai bà trưng,nhà hàng,100000,200000,medium,2,,,,,,,,,x,,,,,
736,736,miele pane - bánh ngọt mì & xôi - trần nhân tông,7.1,quận hai bà trưng,ăn vặt vỉa hè,10000,50000,cheap,1,,x,,x,,,,,,,,,x,
737,737,bánh cuốn nóng 101 bà triệu - trần nhân tông,7.6,quận hai bà trưng,nhà hàng,25000,35000,cheap,1,,x,x,,,,,,,,,,x,
738,738,bún bò huế ngự uyển - trần nguyên đán,7.1,quận hoàng mai,nhà hàng,25000,60000,cheap,1,,,x,x,,x,,,x,,,,,
739,739,helio coffee - trần nguyên hãn,7.1,quận hoàn kiếm,cafe tráng miệng,30000,100000,cheap,1,,,x,,,,,,,,,x,x,
740,740,thế giới hải sản - trần kim xuyến,8.2,quận cầu giấy,nhà hàng,400000,600000,expensive,3,,,,,,,,,x,,,,,
741,741,phố hải sản - trần kim xuyến,7.8,quận cầu giấy,nhà hàng,200000,500000,expensive,3,,,,,,,,,x,,,,,
742,742,fenghuang - trần kim xuyến,6.4,quận cầu giấy,nhà hàng,150000,300000,medium,2,,,,,,,,,x,,,,,
743,743,dê ré song dương - trần kim xuyến,7.6,quận cầu giấy,nhà hàng,280000,300000,medium,2,,,,,,,,,x,,,,,
744,744,chim to dần bình an - trần kim xuyến,7.6,quận cầu giấy,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
745,745,cá 38 - vua cá sông - trần kim xuyến,7.6,quận cầu giấy,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
746,746,tú gà - chân gà rang muối - trần khát chân,8.9,quận hai bà trưng,nhà hàng,20000,300000,medium,2,,,,,,,,,x,,,,,
747,747,sườn mười - sườn nướng bbq - trần khát chân,7.9,quận hai bà trưng,nhà hàng,79000,319000,medium,2,,,,,,,,,x,,,,,
748,748,savor - bánh mì & trà sữa - trần khát chân,5.0,quận hai bà trưng,ăn vặt vỉa hè,20000,50000,cheap,1,,x,x,x,,,,,,,,x,x,
749,749,miele pane - bánh ngọt mì & xôi - trần khát chân,7.1,quận hai bà trưng,ăn vặt vỉa hè,10000,40000,cheap,1,,x,,x,,,,,,,,,x,
750,750,mamykit - world food - trần khát chân,8.6,quận hai bà trưng,delivery,30000,60000,cheap,1,,,,,,,,,,,,,,
751,751,hạnh ngan - ngan cháy tỏi online - trần khát chân,9.5,quận hai bà trưng,delivery,80000,240000,medium,2,,,,,,,,,,,,,,
752,752,cỗ lá - trần khát chân,6.4,quận hai bà trưng,nhà hàng,110000,140000,medium,2,,,,,,,,,x,,,,,
753,753,cha go tea & caf'e - trần khát chân,6.2,quận hai bà trưng,cafe tráng miệng,30000,50000,cheap,1,,,,,,,,,,,,,x,
754,754,chả cá gia nguyễn - trần khát chân,7.6,quận hai bà trưng,nhà hàng,150000,200000,medium,2,,,,,,,,,x,,,,,
755,755,bia sành điệu - trần khát chân,8.6,quận hai bà trưng,nhà hàng,200000,300000,medium,2,,,,,,,,,x,,,,,
756,756,bếp nhà bun - chân gà sả ớt online - trần khát chân,8.5,quận hai bà trưng,delivery,90000,100000,cheap,1,,,,,,,,,x,,,,,
757,757,bami bread - trần khát chân,6.5,quận hai bà trưng,ăn vặt vỉa hè,15000,25000,cheap,1,x,x,,,x,,,,,,,,x,
758,758,hải sản phố - trần khánh dư,8.0,quận hoàn kiếm,nhà hàng,350000,500000,expensive,3,,,,,,,,,x,,,,,
759,759,yu tang - trần huy liệu,9.4,quận ba đình,cafe tráng miệng,20000,60000,cheap,1,,,x,,,,,,,,x,x,x,
760,760,takochan - takoyaki - trần huy liệu,7.8,quận ba đình,nhà hàng,30000,50000,cheap,1,,,,,,,,,x,,,,,
761,761,pizza home - trần huy liệu,6.9,quận ba đình,nhà hàng,50000,165000,medium,2,,,,,,,,,,x,,,,
762,762,phương hoa - bún thái hải sản tươi sống - trần huy liệu,7.1,quận ba đình,nhà hàng,45000,580000,expensive,3,,,x,x,,x,,,,,,,,
763,763,ốc cay đại hồng - trần huy liệu,7.2,quận ba đình,ăn vặt vỉa hè,20000,50000,cheap,1,x,,,,,,,,,,,,,
764,764,let's sushi - trần huy liệu,4.6,quận ba đình,nhà hàng,49000,789000,expensive,3,,,,,,,,x,,,,,,
765,765,lẩu đức trọc - trần huy liệu,7.1,quận ba đình,nhà hàng,45000,550000,expensive,3,,,,,,,,,x,,,,,
766,766,gemini coffee - trần huy liệu,5.8,quận ba đình,cafe tráng miệng,25000,50000,cheap,1,,,x,,,,,,,,,x,x,
767,767,emm's french bistro - trần huy liệu,7.7,quận ba đình,nhà hàng,50000,150000,medium,2,,,,,,,,,x,,,,,
768,768,della seta - salad & pasta - trần huy liệu,7.5,quận ba đình,nhà hàng,50000,300000,medium,2,,,,,,,,,x,x,,,,
769,769,cơm tấm phương anh - trần huy liệu,7.2,quận ba đình,nhà hàng,40000,50000,cheap,1,,x,x,x,,,,,x,,,,,
770,770,cơm tấm dương - trần huy liệu,8.1,quận ba đình,nhà hàng,25000,40000,cheap,1,,x,x,x,,,,,x,,,,,
771,771,caramello - caramen & đồ ăn vặt - trần huy liệu,6.2,quận ba đình,ăn vặt vỉa hè,12000,70000,cheap,1,x,x,,,x,,,x,,,,,x,
772,772,aha cafe - trần huy liệu,7.3,quận ba đình,cafe tráng miệng,25000,45000,cheap,1,,,x,,,,,,,,,x,x,
773,773,gà nướng ò ó o - trần hữu tước,7.1,quận đống đa,nhà hàng,15000,449000,expensive,3,,,,,,,,,x,,,,,
774,774,chân gà sả ớt - shop online - trần hữu tước,7.6,quận đống đa,delivery,10000,90000,cheap,1,,,,,,,,,x,,,,,
775,775,bếp nhà bun - chân gà sả ớt online - trần hữu dực,5.0,quận nam từ liêm,delivery,90000,180000,medium,2,,,,,,,,,x,,,,,
776,776,xuka cafe - trần hưng đạo,7.3,quận hai bà trưng,cafe tráng miệng,30000,55000,cheap,1,,,x,,,,,,,,,x,x,
777,777,xôi yến - trần hưng đạo,7.0,quận hoàn kiếm,ăn vặt vỉa hè,15000,30000,cheap,1,,x,,x,,,,,,,,,,
778,778,xiên nướng trung hoa - trần hưng đạo,9.3,quận hoàn kiếm,ăn vặt vỉa hè,10000,150000,medium,2,x,x,,,x,,,,,,,,x,
779,779,vua chả cá - trần hưng đạo,7.9,quận hoàn kiếm,nhà hàng,129000,400000,medium,2,,,,,,,,,x,,,,,
780,780,vị quảng - ẩm thực miền trung - trần hưng đạo,7.1,quận hoàn kiếm,nhà hàng,8000,450000,expensive,3,,,,,,,,,x,,,,,
781,781,tranquil books & coffee - trần hưng đạo,7.6,quận hoàn kiếm,cafe tráng miệng,30000,60000,cheap,1,,,x,,,,,,,,,x,x,
782,782,thế giới hải sản - trần hưng đạo,7.7,quận hoàn kiếm,nhà hàng,100000,500000,expensive,3,,,,,,,,,x,,,,,
783,783,steakout - trần hưng đạo,7.4,quận hoàn kiếm,nhà hàng,200000,400000,medium,2,,,,,,,,,,,,,x,
784,784,phủi quán - lẩu & nướng - trần hưng đạo,6.7,quận hoàn kiếm,nhà hàng,30000,500000,expensive,3,,,,,,,,,x,,,,,
785,785,nhà hàng ngon - trần hưng đạo,6.3,quận hoàn kiếm,nhà hàng,80000,220000,medium,2,,,,,,,,,x,,,,,
786,786,nguyễn sơn bakery - trần hưng đạo,7.8,quận hoàn kiếm,bánh ngọt,20000,300000,medium,2,,,,,,,,,,,,,x,x
787,787,lofita - healthy drinks & foods - trần hưng đạo,8.8,quận hoàn kiếm,cafe tráng miệng,35000,100000,cheap,1,,,x,,,,,,,,x,x,x,
788,788,kem new zealand - trần hưng đạo,7.4,quận hoàn kiếm,cafe tráng miệng,30000,100000,cheap,1,,,,,,,,,,,,,x,
789,789,gu-i92 - lẩu & nướng hàn quốc - trần hưng đạo,7.4,quận hoàn kiếm,nhà hàng,100000,500000,expensive,3,x,,,,,,,,x,,,,,
790,790,gu-i92 bbq - trần hưng đạo,7.4,quận hoàn kiếm,nhà hàng,200000,300000,medium,2,,,,,,,,,x,,,,,
791,791,cơm chay nàng tấm - trần hưng đạo,6.0,quận hoàn kiếm,nhà hàng,80000,120000,medium,2,,x,x,x,,,,,x,,x,,,
792,792,cha go tea & caf'e - trần hưng đạo,5.9,quận hoàn kiếm,cafe tráng miệng,30000,60000,cheap,1,,,,,,,,,,,,,x,
793,793,chả cá hàng sơn - trần hưng đạo,7.6,quận hoàn kiếm,nhà hàng,200000,300000,medium,2,,,,,,,,,x,,,,,
794,794,bami bread - trần hưng đạo,7.3,quận hoàn kiếm,ăn vặt vỉa hè,16000,25000,cheap,1,x,x,,,x,,,,,,,,x,
795,795,swing music lounge - tràng tiền,7.3,quận hoàn kiếm,nhà hàng,50000,1000000,expensive,3,,,x,,,,,,,,,,x,
796,796,swing cafe & restaurant - tràng tiền,7.9,quận hoàn kiếm,nhà hàng,30000,200000,medium,2,,,x,,,,,,,,,x,x,
797,797,saint honoré - ẩm thực pháp - tràng tiền,7.8,quận hoàn kiếm,nhà hàng,65000,125000,medium,2,,,x,,,,,,,,,,x,
798,798,pizza 4p's - pizza kiểu nhật - tràng tiền,8.3,quận hoàn kiếm,nhà hàng,100000,400000,medium,2,,,x,,,,,,,x,,,x,
799,799,ốc bông hậu sài gòn - tràng tiền,6.8,quận hoàn kiếm,nhà hàng,25000,77000,cheap,1,x,,x,,,,,,,,,,x,
800,800,el gaucho steakhouse - tràng tiền,8.0,quận hoàn kiếm,nhà hàng,500000,1000000,expensive,3,,,x,,,,,,,,,,x,
801,801,vuvuzela beer club - tràng thi,8.8,quận hoàn kiếm,nhà hàng,50000,300000,medium,2,,,x,,,,,,,,,,x,
802,802,cowboy jack's saloon american dining - tràng thi,7.5,quận hoàn kiếm,nhà hàng,150000,300000,medium,2,,,x,,,,,,,,,,x,
803,803,trang ốc quán,7.0,quận ba đình,ăn vặt vỉa hè,30000,100000,cheap,1,x,,,,,,,,,,,,,
804,804,xôi tám - trần duy hưng,6.4,quận cầu giấy,nhà hàng,15000,45000,cheap,1,,x,,x,,,,,,,,,,
805,805,tous les jours - trần duy hưng,8.0,quận cầu giấy,bánh ngọt,15000,550000,expensive,3,,,,,,,,,,,,,x,x
806,806,ông sơn - bún cá biển cay - trần duy hưng,7.1,quận cầu giấy,nhà hàng,30000,60000,cheap,1,,,x,x,,x,,,x,,,,,
807,807,nguyễn sơn bakery - trần duy hưng,7.4,quận cầu giấy,bánh ngọt,30000,220000,medium,2,,,,,,,,,,,,,x,x
808,808,nét huế - trần duy hưng,6.4,quận cầu giấy,nhà hàng,200000,2000000,extravagant,4,,,,,,,,,x,,,,,
809,809,kem new zealand - trần duy hưng,7.4,quận cầu giấy,cafe tráng miệng,30000,100000,cheap,1,,,,,,,,,,,,,x,
810,810,hutong - hot pot paradise - trần duy hưng,7.1,quận cầu giấy,nhà hàng,350000,500000,expensive,3,,,,,,,,,x,,,,,
811,811,cơm tấm phương anh - trần duy hưng,7.2,quận cầu giấy,nhà hàng,40000,55000,cheap,1,,x,x,x,,,,,x,,,,,
812,812,chimico - cơm trộn & kim chi tỏi đen - trần duy hưng,6.9,quận cầu giấy,nhà hàng,90000,150000,medium,2,,x,x,x,,,,,x,,,,,
813,813,bít tết ngọc hiếu - trần duy hưng,5.9,quận cầu giấy,nhà hàng,55000,88000,cheap,1,,,,,,,,,x,,,,,
814,814,bánh mì minh nhật - trần duy hưng,6.5,quận cầu giấy,ăn vặt vỉa hè,15000,20000,cheap,1,,x,,x,,,,,,,,,x,
815,815,tào phớ nè - trần cung,8.4,quận cầu giấy,nhà hàng,15000,30000,cheap,1,,,,,,,,,x,,,,,
816,816,phong phú - sữa ngô nguyên chất & bánh bao - trần cung,7.1,quận bắc từ liêm,ăn vặt vỉa hè,5000,25000,cheap,1,,x,,,,,,,,,,,x,
817,817,miele pane - bánh ngọt mì & xôi - trần cung,7.1,quận bắc từ liêm,ăn vặt vỉa hè,10000,40000,cheap,1,,x,,x,,,,,,,,,x,
818,818,bánh tráng cuốn thịt heo hoàng bèo - trần cung,5.7,quận cầu giấy,nhà hàng,40000,50000,cheap,1,x,,,,,,,,,,,,x,
819,819,yakimono - nướng nhật bản - trần bình,5.7,quận nam từ liêm,nhà hàng,99000,199000,medium,2,,,,,,,,x,,,,,,
820,820,yakimono - trần bình,7.6,quận nam từ liêm,nhà hàng,260000,300000,medium,2,,,,,,,,x,,,,,,
821,821,bánh mì phố - trần bình trọng,8.3,quận hoàn kiếm,ăn vặt vỉa hè,25000,50000,cheap,1,,x,,x,,,,,,,,,x,
822,822,pizza express - trần bình,6.4,quận cầu giấy,nhà hàng,90000,143000,medium,2,,,,,,,,,,x,,,,
823,823,lẩu tuyết - lẩu thái tomyum & đồ nướng tự chọn - trần bình,7.1,quận nam từ liêm,nhà hàng,20000,200000,medium,2,,,,,,,,,x,,,,,
824,824,trạm xăng coffee,7.5,quận đống đa,cafe tráng miệng,15000,70000,cheap,1,,,x,,,,,,,,,x,x,
825,825,"euro garden - trà hoa quả, trà sữa & đồ đá xay",9.5,quận đống đa,cafe tráng miệng,10000,50000,cheap,1,,,x,,,,,,,,,x,x,
826,826,tracy's pub and grill,7.6,quận tây hồ,nhà hàng,120000,182000,medium,2,,,,,,,,,x,,,,,
827,827,tracce tea and coffee shop,7.4,quận ba đình,cafe tráng miệng,25000,45000,cheap,1,,,x,,,,,,,,,x,x,
828,828,teacups - trà & bánh ngọt,5.3,quận ba đình,cafe tráng miệng,25000,50000,cheap,1,,,x,,,,,,,,,,x,x
829,829,"baked magic - trà, sinh tố & bánh kem nướng",7.5,quận ba đình,cafe tráng miệng,20000,50000,cheap,1,,,x,,,,,,,,,,x,x
830,830,thu hương - bánh tráng sài gòn - tô vĩnh diện,7.1,quận thanh xuân,ăn vặt vỉa hè,15000,30000,cheap,1,x,,,,,,,,,,,,x,
831,831,four season juice - nước ép trái cây theo mùa - tô vĩnh diện,7.1,quận thanh xuân,cafe tráng miệng,30000,50000,cheap,1,,,x,,,,,,,,,,x,
832,832,hoa quả dầm hoa béo - tô tịch,6.8,quận hoàn kiếm,cafe tráng miệng,20000,50000,cheap,1,,,x,,,,,,,,x,x,x,
833,833,yifang - taiwan fruit tea - tôn đức thắng,6.3,quận đống đa,cafe tráng miệng,35000,55000,cheap,1,,,,,,,,,,,,x,x,
834,834,paris gâteaux - tôn đức thắng,7.0,quận đống đa,bánh ngọt,50000,275000,medium,2,,,,,,,,,,,,,x,
835,835,paradise - cơm văn phòng online - tôn đức thắng,7.1,quận đống đa,delivery,25000,50000,cheap,1,,x,x,x,,,,,x,,,,,
836,836,cha go tea & caf'e - tôn đức thắng,7.2,quận đống đa,cafe tráng miệng,30000,50000,cheap,1,,,,,,,,,,,,,x,
837,837,xôi bự - tôn thất tùng,9.0,quận đống đa,ăn vặt vỉa hè,15000,30000,cheap,1,,x,,x,,,,,,,,,,
838,838,trà sữa mixue - tôn thất tùng,8.1,quận đống đa,cafe tráng miệng,30000,60000,cheap,1,,,x,,,,,,,,,x,x,
839,839,thịt xiên nướng 2k - tôn thất tùng,7.3,quận đống đa,ăn vặt vỉa hè,2000,20000,cheap,1,x,x,,,x,,,,,,,,x,
840,840,the 1989 - trà sữa muối biển - tôn thất tùng,7.2,quận đống đa,cafe tráng miệng,15000,40000,cheap,1,,,x,,,,,,,,,x,x,
841,841,quán bánh xèo gia truyền - tôn thất tùng,7.7,quận đống đa,ăn vặt vỉa hè,9000,12000,cheap,1,,,,,,,,,,,,,x,
842,842,miến trộn - tôn thất tùng,6.6,quận đống đa,nhà hàng,25000,40000,cheap,1,,,,,,x,,,,,,,,
843,843,king roti - tôn thất tùng,6.4,quận đống đa,bánh ngọt,15000,30000,cheap,1,,,,,,,,,,,,,x,x
844,844,hoàng huệ - cơm rang & bún bò trộn - tôn thất tùng,7.1,quận đống đa,nhà hàng,25000,25000,cheap,1,,x,x,x,,x,,,x,,,,,
845,845,cư xá cà phê - tôn thất tùng,7.7,quận đống đa,cafe tráng miệng,10000,35000,cheap,1,,,x,,,,,,,,,,x,
846,846,chè thái hà - tôn thất tùng,6.5,quận đống đa,ăn vặt vỉa hè,10000,40000,cheap,1,x,x,,,x,,,,,,,,x,
847,847,chè sài gòn - tôn thất tùng,6.8,quận đống đa,nhà hàng,8000,17000,cheap,1,,,,,,,,,x,,,,,
848,848,bún ốc sườn cô sáu - tôn thất tùng,4.6,quận đống đa,nhà hàng,30000,130000,medium,2,x,,x,x,,x,,,,,,,,
849,849,bánh mì vợ ong vàng - tôn thất tùng,8.3,quận đống đa,ăn vặt vỉa hè,6000,15000,cheap,1,,x,,x,,,,,,,,,x,
850,850,aha food - đồ âu văn phòng - tôn thất tùng,6.4,quận đống đa,nhà hàng,20000,100000,cheap,1,,,,,,,,,x,,,,,
851,851,old hanoi restaurant - tôn thất thiệp,7.2,quận ba đình,nhà hàng,200000,300000,medium,2,,,,,,,,,x,,,,,
852,852,hotdog station - tôn quang phiệt,7.2,quận bắc từ liêm,ăn vặt vỉa hè,20000,40000,cheap,1,x,x,,,x,,,,,,,,x,
853,853,wicked bbq n’ bar - tông đản,7.4,quận hoàn kiếm,nhà hàng,250000,300000,medium,2,,,,,,,,,x,,,,,
854,854,tadioto bar - tông đản,7.3,quận hoàn kiếm,nhà hàng,50000,300000,medium,2,,,,,,,,,x,,,,,
855,855,shamoji robata yaki - tông đản,8.3,quận hoàn kiếm,nhà hàng,50000,200000,medium,2,,,,,,,,,x,,,,,
856,856,pan ice cream - tông đản,7.5,quận hoàn kiếm,cafe tráng miệng,20000,50000,cheap,1,,,x,,,,,,,,x,x,x,
857,857,cơm tấm phương anh - tông đản,4.6,quận hoàn kiếm,nhà hàng,40000,55000,cheap,1,,x,x,x,,,,,x,,,,,
858,858,bánh mì ngố - tông đản,8.0,quận hoàn kiếm,ăn vặt vỉa hè,10000,50000,cheap,1,,x,,x,,,,,,,,,x,
859,859,valhalla grill - fast food & drink - tô ngọc vân,7.4,quận tây hồ,nhà hàng,50000,80000,cheap,1,,,,,,,,,x,,,,,
860,860,savoor - the house of panini - tô ngọc vân,9.3,quận tây hồ,nhà hàng,50000,150000,medium,2,,,,,,,,,x,,,,,
861,861,rosemary kitchen & sandwicherie - tô ngọc vân,7.3,quận tây hồ,cafe tráng miệng,35000,50000,cheap,1,,,x,,,,,,,,x,x,x,
862,862,healthwich vietnam - submarine sandwich & salad - tô ngọc vân,7.6,quận tây hồ,nhà hàng,10000,80000,cheap,1,,,,,,,,,x,x,,,,
863,863,xofa café & bistro - tống duy tân,7.6,quận hoàn kiếm,cafe tráng miệng,30000,50000,cheap,1,,,x,,,,,,,,x,x,x,
864,864,aroi dessert cafe - tống duy tân,7.1,quận hoàn kiếm,cafe tráng miệng,20000,100000,cheap,1,,,x,,,,,,,,,x,x,
865,865,tonchan ramen – phan kế bính,7.2,quận ba đình,nhà hàng,150000,200000,medium,2,,,,,,,,x,,,,,,
866,866,tomita bento – ciputra hà nội,8.0,quận bắc từ liêm,nhà hàng,150000,250000,medium,2,,,,,,,,x,,,,,,
867,867,tokyo deli – times city,8.0,quận hai bà trưng,nhà hàng,160000,250000,medium,2,,,,,,,,,x,,,,,
868,868,tokyo deli – ngụy như kon tum,8.0,quận thanh xuân,nhà hàng,160000,250000,medium,2,,,,,,,,,x,,,,,
869,869,tokbokki & gimbap,7.6,quận nam từ liêm,nhà hàng,15000,20000,cheap,1,x,,,,,,x,,,,,,,
870,870,silk garden - tố hữu,7.8,quận hà đông,nhà hàng,300000,500000,expensive,3,,,,,,,,,x,,,,,
871,871,shin+ bbq - tố hữu,7.2,quận hà đông,nhà hàng,200000,350000,medium,2,,,,,,,,,x,,,,,
872,872,manwah taiwanese hotpot - tố hữu,9.1,quận hà đông,nhà hàng,100000,400000,medium,2,,,,,,,,,x,,,,,
873,873,lounge @m - tố hữu,8.0,quận hà đông,nhà hàng,200000,350000,medium,2,,,,,,,,,x,,,,,
874,874,hải sản mỹ hạnh - tố hữu,8.0,quận hà đông,nhà hàng,250000,500000,expensive,3,,,,,,,,,x,,,,,
875,875,ẩm thực n – one - tố hữu,7.2,quận thanh xuân,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
876,876,"xinyi - cơm vịt quay, gà nướng & chè kem đài loan - tô hiệu",8.1,quận cầu giấy,nhà hàng,35000,40000,cheap,1,,x,x,x,,,,,x,,,,x,
877,877,vịt 29 - tô hiệu,6.5,quận cầu giấy,nhà hàng,50000,300000,medium,2,,,,,,,,,x,,,,,
878,878,tuyết nhung - cơm gà phú yên - tô hiệu,7.2,quận cầu giấy,nhà hàng,35000,95000,cheap,1,,x,x,x,,,,,x,,,,,
879,879,trung thành - bít tết & bánh mì chảo - tô hiệu,6.8,quận cầu giấy,nhà hàng,10000,50000,cheap,1,,x,,x,,,,,,,,,x,
880,880,trịnh ca cafe - tô hiệu,6.9,quận cầu giấy,cafe tráng miệng,20000,55000,cheap,1,,,x,,,,,,,,,x,x,
881,881,sushi việt - tô hiệu,6.8,quận cầu giấy,nhà hàng,3000,45000,cheap,1,,,,,,,,x,,,,,,
882,882,safodi - tô hiệu,7.4,quận cầu giấy,nhà hàng,100000,300000,medium,2,,,,,,,,,x,,,,,
883,883,royaltea vietnam by hongkong - tô hiệu,6.3,quận cầu giấy,cafe tráng miệng,30000,55000,cheap,1,,,,,,,,,,,,,x,
